datetime,open,high,low,close,volume
2023-03-21,274.88,275.0,269.5191,273.78,33986080
2023-03-20,276.98001,277.48001,269.85001,272.23001,42775300
2023-03-17,278.26001,283.32999,276.3201,279.42999,69527368
2023-03-16,265.20499,276.56,263.28,276.20001,53639612
2023-03-15,259.98001,266.48001,259.20999,265.44,45772276
2023-03-14,256.75,261.07001,255.86,260.79001,33339322
2023-03-13,247.39999,257.91,245.73,253.92,33339720
2023-03-10,251.08,252.78999,247.60001,248.59,28333930
2023-03-09,255.82001,259.56,251.58,252.32001,26481614
2023-03-08,254.03999,254.5417,250.81,253.7,17340216
2023-03-07,256.29999,257.69,253.39,254.14999,21473180
2023-03-06,256.42499,260.12,255.98,256.87,24109848
2023-03-03,252.19,255.62,251.39,255.28999,29281018
2023-03-02,246.55,251.39999,245.61,251.11,24751548
2023-03-01,250.75999,250.92999,245.78999,246.27,26532330
2023-02-28,249.07001,251.49001,248.73,249.42,22490950
2023-02-27,252.46001,252.82001,249.39,250.16,21190042
2023-02-24,249.96001,251.0,248.10001,249.22,24990904
2023-02-23,255.56,256.84,250.48,254.77,29219096
2023-02-22,254.09,254.34,250.34,251.50999,22491056
2023-02-21,254.48,255.49001,251.59,252.67,28397444
2023-02-17,259.39001,260.09,256.0,258.06,30000056
2023-02-16,264.01999,266.73999,261.89999,262.14999,29187940
2023-02-15,268.32001,270.73001,266.17999,269.32001,28358696
2023-02-14,272.67001,274.97,269.28,272.17001,37047924
2023-02-13,267.64001,274.60001,267.14999,271.32001,44431464
2023-02-10,261.53,264.09,260.66199,263.10001,25818488
2023-02-09,273.79999,273.98001,262.79999,263.62,39679544
2023-02-08,273.20001,276.76001,266.20999,266.73001,54253576
2023-02-07,260.53,268.77499,260.07999,267.56,50446176
2023-02-06,257.44,258.29999,254.78,256.76999,22439704
2023-02-03,259.54199,264.20001,257.10001,258.35001,29077256
2023-02-02,258.82001,264.69,257.25,264.60001,39184864
2023-02-01,248.0,255.17999,245.47,252.75,29927268
2023-01-31,243.45,247.95,242.94501,247.81,26541072
2023-01-30,244.50999,245.60001,242.2,242.71001,25691544
2023-01-27,248.99001,249.83,246.83,248.16,26498940
2023-01-26,243.64999,248.31,242.0,248.0,33155300
2023-01-25,234.48,243.3,230.89999,240.61,66363016
2023-01-24,242.5,243.95,240.44,242.03999,34491120
2023-01-23,241.10001,245.16499,239.64999,242.58,31511404
